company_id,company_name,equity_ticker,cds_ticker,redcode,shortname,match_type
1060391,"REPUBLIC SERVICES, INC.",RSG,RSG,7D67CE,REP SVCS INC,exact_ticker
88121,SEABOARD CORPORATION,SEB,SEB,8B3555,SKANDINAVISKA ENSKILDA BANKEN AB,exact_ticker
16918,"CONSTELLATION BRANDS, INC.",STZ,STZ,2D139V,CONSTELLATION BRANDS INC,exact_ticker
96021,SYSCO CORP,SYY,SYY,8F89AB,SYSCO CORP,exact_ticker
97216,TEREX CORP,TEX,TEX,8G87EG,TEREX CORP,exact_ticker
27419,TARGET CORPORATION,TGT,TGT,8FD73G,TARGET CORP,exact_ticker
109198,"THE TJX COMPANIES, INC.",TJX,TJX,8F9794,TJX COS INC,exact_ticker
794170,"Toll Brothers, Inc.",TOL,TOL,8GHDBF,TOLL BROS INC,exact_ticker
916365,TRACTOR SUPPLY CO /DE/,TSCO,TSCO,8G96CC,TESCO PLC,exact_ticker
100493,"TYSON FOODS, INC.",TSN,TSN,9J26DD,TYSON FOODS INC,exact_ticker
217346,Textron Inc.,TXT,TXT,8GB523,TEXTRON INC,exact_ticker
100885,UNION PACIFIC CORP,UNP,UNP,997F99,UN PAC CORP,exact_ticker
1090727,"United Parcel Service, Inc.",UPS,UPS,9A2443,UTD PARCEL SVC INC,exact_ticker
1067701,"UNITED RENTALS, INC.",URI,URI,9A2499,UTD RENTS INC,exact_ticker
102037,UNIVERSAL CORP /VA/,UVV,UVV,9A479B,UNVL CORP,exact_ticker
103379,V. F. Corporation,VFC,VFC,9A9A24,V F CORP,exact_ticker
106640,WHIRLPOOL CORP /DE/,WHR,WHR,9F9652,WHIRLPOOL CORP,exact_ticker
1174922,"WYNN RESORTS, LIMITED",WYNN,WYNN,9HB44I,WYNN LAS VEGAS LLC,exact_ticker
1041061,"YUM! BRANDS, INC.",YUM,YUM,9HGCDH,YUM BRANDS INC,exact_ticker
