company_id,company_name,equity_ticker,cds_ticker,redcode,shortname,match_type
0001048286,MARRIOTT INTERNATIONAL INC /MD/,MAR,MAR,5C8A93,MARRIOTT INTL INC,exact_ticker
0000062996,Masco Corporation,MAS,MAS,5CB9EI,MASCO CORP,exact_ticker
0000063276,MATTEL INC /DE/,MAT,MAT,5CE789,MATTEL INC,exact_ticker
0000063908,McDONALD’S CORPORATION,MCD,MCD,5D8148,MCDONALDS CORP,exact_ticker
0000851968,"MOHAWK INDUSTRIES, INC.",MHK,MHK,6G89A9,MOHAWK INDS INC,exact_ticker
0000066740,3M COMPANY,MMM,MMM,8GDCG7,3M CO,exact_ticker
0000764180,"ALTRIA GROUP, INC.",MO,MO,0C4291,ALTRIA GP INC,exact_ticker
0000061986,"The Manitowoc Company, Inc.",MTW,MTW,UZB94S,MANITOWOC CO INC,exact_ticker
0001350593,"MUELLER WATER PRODUCTS, INC.",MWA,MWA,5EB8BE,MET WATER DIST OF SOUTHERN CA,exact_ticker
0000320187,"NIKE, Inc.",NKE,NKE,6B9516,NIKE INC,exact_ticker
0000702165,NORFOLK SOUTHERN CORPORATION,NSC,NSC,6BADC8,NORFOLK STHN CORP,exact_ticker
0000906163,"NVR, Inc.",NVR,NVR,68BD8X,NVR INC,exact_ticker
0000078814,PITNEY BOWES INC /DE/,PBI,PBI,7J68BG,PITNEY BOWES INC,exact_ticker
0000077476,"PepsiCo, Inc.",PEP,PEP,7I478C,PEPSICO INC,exact_ticker
0000080424,PROCTER & GAMBLE CO,PG,PG,7B6989,PROCTER & GAMBLE CO,exact_ticker
0000085961,"RYDER SYSTEM, INC.",R,R,7FB89D,RYDER SYS INC,exact_ticker
0001024478,"ROCKWELL AUTOMATION, INC",ROK,ROK,7EAC93,ROCKWELL AUTOMATION INC,exact_ticker
0001060391,"REPUBLIC SERVICES, INC.",RSG,RSG,7D67CE,REP SVCS INC,exact_ticker
0000088121,SEABOARD CORPORATION,SEB,SEB,8B3555,SKANDINAVISKA ENSKILDA BANKEN AB,exact_ticker
0000016918,"CONSTELLATION BRANDS, INC.",STZ,STZ,2D139V,CONSTELLATION BRANDS INC,exact_ticker
0000096021,SYSCO CORP,SYY,SYY,8F89AB,SYSCO CORP,exact_ticker
0000097216,TEREX CORP,TEX,TEX,8G87EG,TEREX CORP,exact_ticker
0000027419,TARGET CORPORATION,TGT,TGT,8FD73G,TARGET CORP,exact_ticker
0000109198,"THE TJX COMPANIES, INC.",TJX,TJX,8F9794,TJX COS INC,exact_ticker
0000794170,"Toll Brothers, Inc.",TOL,TOL,8GHDBF,TOLL BROS INC,exact_ticker
0000916365,TRACTOR SUPPLY CO /DE/,TSCO,TSCO,8G96CC,TESCO PLC,exact_ticker
0000100493,"TYSON FOODS, INC.",TSN,TSN,9J26DD,TYSON FOODS INC,exact_ticker
0000217346,Textron Inc.,TXT,TXT,8GB523,TEXTRON INC,exact_ticker
0000100885,UNION PACIFIC CORP,UNP,UNP,997F99,UN PAC CORP,exact_ticker
0001090727,"United Parcel Service, Inc.",UPS,UPS,9A2443,UTD PARCEL SVC INC,exact_ticker
0001067701,"UNITED RENTALS, INC.",URI,URI,9A2499,UTD RENTS INC,exact_ticker
0000102037,UNIVERSAL CORP /VA/,UVV,UVV,9A479B,UNVL CORP,exact_ticker
0000103379,V. F. Corporation,VFC,VFC,9A9A24,V F CORP,exact_ticker
0000106640,WHIRLPOOL CORP /DE/,WHR,WHR,9F9652,WHIRLPOOL CORP,exact_ticker
0001174922,"WYNN RESORTS, LIMITED",WYNN,WYNN,9HB44I,WYNN LAS VEGAS LLC,exact_ticker
0001041061,"YUM! BRANDS, INC.",YUM,YUM,9HGCDH,YUM BRANDS INC,exact_ticker
0000006201,AMERICAN AIRLINES GROUP INC.,AAL,AMERAIAI,025ADX,Amern Airls Group Inc,token_exact_abbrev
0001637459,Kraft Heinz Co,KHC,KRAFHEI,5F07CP,Kraft Heinz Foods Co,token_subset_one_extra
0001103982,"MONDELEZ INTERNATIONAL, INC.",MDLZ,MONDINT,669B27,Mondelez Intl Inc,token_exact_abbrev
0000789570,MGM Resorts International,MGM,MGMRI,5A831E,MGM Resorts Intl,token_exact_abbrev
0001413329,Philip Morris International Inc.,PM,MO-PHMI,7I997L,Philip Morris Intl Inc,token_exact_abbrev
0001530950,"Post Holdings, Inc.",POST,POSTHOL,7AAB8A,Post Hldgs Inc,token_exact_abbrev
0001597033,Sabre Corp,SABR,TSG,7FDE95,Sabre Hldgs Corp,token_exact_abbrev
0000109177,"Spectrum Brands Holdings, Inc.",SPB,SBI,8CBD8N,Spectrum Brands Inc,token_exact_abbrev
0001260221,TransDigm Group Incorporated,TDG,TRADIG,8HC9AB,Transdigm Inc,token_exact_abbrev
0000102729,"Valmont Industries, Inc.",VMI,VALMIN,9B2278,Valmont Inds Inc,token_exact_abbrev
