driver_family,feature,horizon_label,model_name,evaluation_type,lambda,validation_rows,company_count,sectors,mae_fundamentals,mae_model,mae_improvement_vs_fundamentals,mae_improvement_ci_low,mae_improvement_ci_high,directional_hit_rate,rank_ic
growth,revenue_growth,1Y,random_driver_gap_lambda_0.80,sanity_check,0.8,16,8,"['25', '30', '45']",0.0016405505897578048,0.0009916879571656135,0.3955151621919707,0.1891338491615377,0.5568939062844941,1.0,0.9992644353546792
growth,revenue_growth,1Y,random_driver_gap_lambda_1.00,sanity_check,1.0,16,8,"['25', '30', '45']",0.0016405505897578048,0.0009352055743219153,0.42994408087105684,0.16446545382525388,0.6131697767275138,1.0,0.9992644353546792
margin,ebitda_margin,2Y,current_level_only,baseline,,8,8,"['25', '30', '45']",0.0006795441784582927,0.006461251909125619,-8.508214644387806,-28.767424198996512,-6.418031746697048,1.0,0.4047619047619048
margin,ebitda_margin,2Y,momentum_only,baseline,,8,8,"['25', '30', '45']",0.0006795441784582927,0.004208333333333332,-5.192876735227039,-38.97542066220893,-1.6386738047309157,1.0,0.9142074905486915
margin,ebitda_margin,2Y,peer_median,baseline,,8,8,"['25', '30', '45']",0.0006795441784582927,0.008999999999999998,-12.244172027812283,-71.07438649709731,-7.580540189009218,1.0,
margin,ebitda_margin,2Y,fundamentals,baseline,,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006795441784582927,0.0,0.0,0.0,0.875,1.0
margin,ebitda_margin,2Y,gap_lambda_0.00,actual,0.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006795441784582927,0.0,0.0,0.0,0.875,1.0
margin,ebitda_margin,2Y,gap_lambda_0.10,actual,0.1,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006428600424543966,0.053983445325251234,-0.16197333158191438,0.1044956757058809,0.875,1.0
margin,ebitda_margin,2Y,gap_lambda_0.20,actual,0.2,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006379475472032292,0.06121254890217043,-0.8825361220584871,0.1521931107015461,1.0,1.0
margin,ebitda_margin,2Y,gap_lambda_0.35,actual,0.35,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006305788043264779,0.07205620426754933,-1.387986564274904,0.2572574710463169,1.0,1.0
margin,ebitda_margin,2Y,gap_lambda_0.50,actual,0.5,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006232100614497272,0.08289985963292745,-3.2184953852470586,0.377250919278906,1.0,1.0
margin,ebitda_margin,2Y,gap_lambda_0.65,actual,0.65,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006165184544189807,0.09274705903934133,-5.099440764268918,0.459784339588481,1.0,1.0
margin,ebitda_margin,2Y,gap_lambda_0.80,actual,0.8,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006103538051235903,0.10181880079037264,-4.618575567668427,0.5818984542681336,1.0,1.0
margin,ebitda_margin,2Y,gap_lambda_1.00,actual,1.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006021342727297362,0.1139144564584148,-8.432793192068404,0.703357730478564,1.0,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.00,placebo,0.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006795441784582927,0.0,0.0,0.0,0.875,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.10,placebo,0.1,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006881552033878368,-0.01267176616696264,-0.08244446315924922,0.0004031937040858537,0.875,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.20,placebo,0.2,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006967662283173812,-0.0253435323339255,-0.24247749581361536,0.00024392431878565252,0.875,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.35,placebo,0.35,8,8,"['25', '30', '45']",0.0006795441784582927,0.0007096827657116974,-0.044351181584369126,-0.33496858356933246,0.004589580104950985,0.875,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.50,placebo,0.5,8,8,"['25', '30', '45']",0.0006795441784582927,0.0007225993031060138,-0.0633588308348132,-0.479205219084025,0.0014203984322049155,0.875,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.65,placebo,0.65,8,8,"['25', '30', '45']",0.0006795441784582927,0.0007355158405003302,-0.08236648008525749,-1.0278205735669232,0.007188997939049711,0.875,1.0
